2013-12-18 21:12:56,205 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.packt.blueprints:chapter02:0.0.1-SNAPSHOT @ D:\PrimefacesBlueprints\primefaces-blueprints\primefaces-blueprints\chapter02\pom.xml.
2013-12-18 21:12:56,351 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chapter02/src/main/java
2013-12-18 21:12:56,351 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /chapter02/src/main/resources
2013-12-18 21:12:56,351 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chapter02/src/test/java
2013-12-18 21:12:56,351 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /chapter02/src/test/resources
2013-12-18 21:12:57,200 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.packt.blueprints:chapter02:0.0.1-SNAPSHOT @ D:\PrimefacesBlueprints\primefaces-blueprints\primefaces-blueprints\chapter02\pom.xml.
2013-12-18 21:12:57,804 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-18 21:12:57,805 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-18 21:12:57,806 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-18 21:12:57,807 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-18 21:12:57,961 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.packt.blueprints:chapter02:0.0.1-SNAPSHOT @ D:\PrimefacesBlueprints\primefaces-blueprints\primefaces-blueprints\chapter02\pom.xml.
2013-12-18 21:12:58,449 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-18 21:12:58,452 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-18 21:12:58,454 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-18 21:12:58,455 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-18 21:12:59,579 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.packt.blueprints:primefaces-blueprints:0.0.1-SNAPSHOT @ D:\PrimefacesBlueprints\primefaces-blueprints\primefaces-blueprints\pom.xml.
2013-12-18 21:12:59,603 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.packt.blueprints:chapter01:0.0.1-SNAPSHOT @ D:\PrimefacesBlueprints\primefaces-blueprints\primefaces-blueprints\chapter01\pom.xml.
2013-12-18 21:12:59,627 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.packt.blueprints:chapter02:0.0.1-SNAPSHOT @ D:\PrimefacesBlueprints\primefaces-blueprints\primefaces-blueprints\chapter02\pom.xml.
2013-12-18 21:13:01,027 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-18 21:13:01,028 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-18 21:13:01,030 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-18 21:13:01,031 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-18 21:13:01,045 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-18 21:13:01,046 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-18 21:13:01,048 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-18 21:13:01,050 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-18 21:13:58,291 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.packt.blueprints:chapter03:0.0.1-SNAPSHOT @ D:\PrimefacesBlueprints\primefaces-blueprints\primefaces-blueprints\chapter03\pom.xml.
